cluster,fix__duration__mean,fix__duration__std,fix__aoi_region__n_unique,fix__aoi_region__entropy,fix__aoi_region__top1_prop,blink__n,trans__n,trans__same_frac,task__n,task__duration__mean,task__difficulty__mean,task__subjective_difficulty__mean,task__subjective_effort__mean,_relative_load_score,relative_load_level,relative_load_label
0,0.5912792134116012,0.43051925787090106,4.5,0.7546042369452391,0.7195954708309382,0.0,429.7,0.0,1.0,621.3237043857574,,1.2,1.5,-7.4511449562445655,2,低负荷 / 轻量任务型
1,0.41348908332744616,0.6291839077636486,6.818181818181818,1.3300138188670418,0.4943564468858721,0.0,1650.090909090909,0.0,1.0,1483.1894919005308,,2.1818181818181817,2.5454545454545454,-0.345940293693037,2,低负荷 / 轻量任务型
2,2.035441765966678,1.9931747051754882,4.0,0.7609805913187625,0.7457129470560675,0.0,193.66666666666666,0.0,1.0,2961.14426445961,,4.0,3.3333333333333335,5.808763134823532,3,中高负荷 / 信息整合型
3,0.4289401024677714,0.5374086379481408,7.0,1.5675149305342126,0.3744262295081967,0.0,6746.0,0.0,1.0,6212.581385612488,,0.0,0.0,8.27785862100743,4,高负荷 / 持续专注解题型
4,0.4086372153644074,0.6192423052061564,7.0,1.270744840533369,0.5288553750620717,0.0,2273.6666666666665,0.0,1.0,3435.326668103536,,3.3333333333333335,4.0,5.503378733204523,3,中高负荷 / 信息整合型
5,0.29875951608022056,0.18841094784626777,1.5,0.3182570841474064,0.8333333333333333,0.0,32.0,0.0,1.0,38.573301553726196,,3.0,1.0,-11.792915239097878,1,极低负荷 / 轻松浏览型
