sample_key,x,y,cluster
20260124_140152::task=task_001,-0.5059186375671249,-2.930459660993545,1
20260124_140152::task=task_002,6.578036729970282,-0.9591325344580658,4
20260126::task=task_001,0.2472956656859466,-1.4439460242374866,1
20260126_152828::task=task_001,0.7049687938494931,3.909034871492143,2
20260126_221217::task=task_001,-4.347662436117842,3.243515512338056,0
20260126_230211::task=task_001,-2.4785088554426955,-2.477887900365249,0
20260126_230211::task=task_002,-6.7886495240042155,0.5132196063656237,5
20260126_230211::task=task_003,0.12955834157080226,-2.193290098301536,1
20260127_204001::task=task_001,2.0559211242470132,-1.7590665106954166,1
20260127_204001::task=task_002,-1.844709998826805,-1.968194192379809,0
20260128_130023::task=task_001,1.201981990078861,-1.3015807287329537,1
20260130_190152::task=task_001,-2.238570627891388,-2.6271284103635795,0
20260130_190152::task=task_002,7.144662794205799,1.636093535607878,4
20260206_110122::task=task_001,-0.22329294645805114,7.151129610386823,2
20260206_110122::task=task_002,-6.238077476866978,0.9608510614309196,5
20260206_110122::task=task_003,-0.7895594292581891,11.304656015995603,2
20260207_120524::task=task_001,0.022979079239009895,-0.2683158610783955,1
20260209_185324::task=task_001,-3.9111581042602834,3.8197632181392756,0
20260209_224413::task=task_001,-4.313322521797245,-1.750259733954744,0
20260209_224413::task=task_002,-4.127692401962389,-1.7770206475148733,0
20260209_224413::task=task_003,0.08417090755929277,-3.477592829317078,1
20260209_224413::task=task_004,-2.4923550601565223,-2.03234970802519,0
20260209_224413::task=task_005,3.4376710156079406,-1.7370493398940834,1
20260211_220513::task=task_001,-4.250543588072838,0.3760816027828149,0
20260215_212801::task=task_001,4.080384422143665,-2.2509366964320603,1
20260216_202836::task=task_001,1.894835563618421,-2.045580105470084,1
20260216_202836::task=task_002,4.250097810880538,0.5526905460703543,4
20260216_202836::task=task_003,14.374751490254747,1.7076089664313143,3
20260219_110938::task=task_001,0.20289138158962708,-0.17881330183312508,1
20260219_110938::task=task_002,-1.8601855018188733,-1.9960402629935299,0
